Nom;Quantité;Type;Photo;Pays;Pays_code
Heineken;32;Bière;heineken_original.jpg;Pays-Bas;NL
Leffe;7;Bière;leffe_original.jpg;Belgique;BE
Leffe 0.0;1;Bière;leffe_zero.jpg;Belgique;BE
Grimbergen;6;Bière;grimbergen_original.jpg;Belgique;BE
Grimbergen fruits rouges;6;Bière;grimbergen_rouge.jpg;Belgique;BE
Grimbergen cerise;3;Bière;grimbergen_cerise.jpg;Belgique;BE
Budweiser;8;Bière;bud_original.jpg;Etats-Unis;US
San Miguel;3;Bière;san_miguel.jpg;Espagne;ES
La Muette;4;Bière;la_muette.jpg;France;FR
El Aguila;5;Bière;el_alguila.jpg;Espagne;ES
Mélusine;2;Bière;melusine.jpg;France;FR
Chouffe;2;Bière;chouffe_original.jpg;Belgique;BE
Chouffe rouge;1;Bière;chouffe_rouge.jpg;Belgique;BE
Desperados Violette;2;Bière;desperados_violette.jpg;France;FR
Desperados Bleue;2;Bière;desperados_bleue.jpg;France;FR
Desperados Sunlight;1;Bière;desperados_sunlight.jpg;France;FR
Gouyasse;1;Bière;gouyasse.jpg;Belgique;BE
Sol;1;Bière;sol.jpg;Mexique;MX
Coors;1;Bière;coors.jpg;Etats-Unis;US
Miller;1;Bière;miller.jpg;Etats-Unis;US
Vedett IPA;1;Bière;extra_vedett_ipa.jpg;Belgique;BE
Smirnoff;1;Bière;smirnoff.jpg;Russe;RU
Beck’s;1;Bière;becks.jpg;Allemagne;DE
Biere des amis;1;Bière;biere_des_amis.jpg;Belgique;BE
Monte Carlo Beer Blanche;1;Bière;monte_carlo_blanche.jpg;Monaco;MC
Monte Carlo Beer Rouge;1;Bière;monte_carlo_rouge.jpg;Monaco;MC
Peroni ;1;Bière;peroni.jpg;Italie;IT
Trappist Westmale;1;Bière;trappist_westmale_extra.jpg;Belgique;BE
Pilsner Urquell (PLZEN);1;Bière;pilsner_urquell.jpg;République Tchèque;CZ
Brewdog Wingman noire;1;Bière;brewdog_wingman.jpg;Ecosse;SCO
La débauche;1;Bière;la_debauche.jpg;France;FR
Gouden Carolus noire;1;Bière;gouden_carolus_noire.jpg;Belgique;BE
Averbode ;1;Bière;averbode.jpg;Belgique;BE
La mordue;1;Cidre;la_mordue.jpg;France;FR
Boylan;1;Soda;boylan.jpg;Irlande;IE
L’excuse de Mauvezin (Gers);1;Bière;lexcuse_mauvezin.jpg;France;FR
